airport hilton|2098 airport rd
art museum of wichita|619 stackman dr
botanical garden|701 amidon
century ii|225 w douglas
chamber of commerce|350 w douglas
children's art museum|435 s water
city hall|455 n main
city/county health department|1900 e 9th
cowtown|1871 sim park dr
exploration place|300 n mclean
forth financial center|100 n broadway
friends university|2100 w university
greenway manor (lha)|307 n riverview
greyhound bus line|312 s broadway
holiday inn airport|5500 w kellogg
hyatt regency|400 w waterman
indian center|650 n seneca
irs building|271 w 3rd st n
kansas coliseum|1229 e 85th n
main library|223 s main
main post office|7117 w harry
mcconnel air base|2801 s rock road
metropolitan transit authority|777 e waterman
newman university|3100 mccormick
omnisphere|220 s main
police department|455 n main
ramada inn|7335 e kellogg
red cross|707 n main
riverside health center|2622 w central
sedgwick county courthouse|525 n main
sedgwick county zoo|5555 zoo blvd
social security building|8533 e 32nd n
state office building|230 e william
tag dept|200 w murdock
towne east square|7700 e kellogg
towne west square|4600 w kellogg
unemployment office|402 e 2nd
union center|150 n main
us courthouse (federal)|401 n market
veteran's hospital|5500 e kellogg
via christi st francis hospital|929 n st francis
via christi st joe|3600 e harry
wesley medical center|550 n hillside
wichita boathouse|335 w lewis
wichita children's home|810 n holyoke
wichita clinic|3311 e murdock
wichita mid-continent airport|airport rd
wichita state university|1845 fairmount
