sedgwick county zoo|5555 zoo blvd
veteran's hospital|5500 e kellogg
riverside health center|2622 w central
century ii|225 w douglas
wichita mid-continent airport|airport rd
friends university|2100 w university
kansas coliseum|1229 e 85th n
city/county health department|1900 e 9th
newman university|3100 mccormick
art museum of wichita|619 stackman dr
via christi st francis hospital|929 n st francis
greenway manor (lha)|307 n riverview
union center|150 n main
cowtown|1871 sim park dr
wesley medical center|550 n hillside
towne west square|4600 w kellogg
wichita clinic|3311 e murdock
greyhound bus line|312 s broadway
chamber of commerce|350 w douglas
city hall|455 n main
ramada inn|7335 e kellogg
main post office|7117 w harry
mcconnel air base|2801 s rock road
towne east square|7700 e kellogg
forth financial center|100 n broadway
metropolitan transit authority|777 e waterman
wichita state university|1845 fairmount
sedgwick county courthouse|525 n main
police department|455 n main
main library|223 s main
indian center|650 n seneca
via christi st joe|3600 e harry
red cross|707 n main
holiday inn airport|5500 w kellogg
hyatt regency|400 w waterman
state office building|230 e william
unemployment office|402 e 2nd
omnisphere|220 s main
exploration place|300 n mclean
botanical garden|701 amidon
wichita boathouse|335 w lewis
irs building|271 w 3rd st n
tag dept|200 w murdock
social security building|8533 e 32nd n
children's art museum|435 s water
us courthouse (federal)|401 n market
wichita clinic|3311 e murdock
wichita children's home|810 n holyoke
airport hilton|2098 airport rd
